XPATH,Count
che:legislationInformation/che:CHE_MD_Legislation/che:country/gmd:Country,878
che:legislationInformation/che:CHE_MD_Legislation/che:internalReference/gco:CharacterString,697
che:legislationInformation/che:CHE_MD_Legislation/che:internalReference/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,689
che:legislationInformation/che:CHE_MD_Legislation/che:language/gmd:LanguageCode,710
che:legislationInformation/che:CHE_MD_Legislation/che:legislationType/che:CHE_CI_LegislationCode,785
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:alternateTitle/gco:CharacterString,684
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:alternateTitle/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,653
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/che:addressLine/gco:CharacterString,1
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/che:streetName/gco:CharacterString,1
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/che:streetNumber/gco:CharacterString,1
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:city/gco:CharacterString,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:country/gco:CharacterString,1
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:linkage/gmd:URL,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:name/gco:CharacterString,1
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,1
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,2
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:date/gmd:CI_Date/gmd:date/gco:Date,805
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:date/gmd:CI_Date/gmd:date/gco:DateTime,13
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:date/gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,814
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:edition/gco:CharacterString,1
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier/gmd:code/gco:CharacterString,7
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:otherCitationDetails/gco:CharacterString,259
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:otherCitationDetails/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,253
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:name/gco:CharacterString,317
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,289
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:title/gco:CharacterString,878
che:legislationInformation/che:CHE_MD_Legislation/che:title/gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,846
gmd:characterSet/gmd:MD_CharacterSetCode,7027
gmd:contact/che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,4899
gmd:contact/che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,5146
gmd:contact/che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,5489
gmd:contact/che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,4217
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/che:addressLine/gco:CharacterString,308
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/che:postBox/gco:CharacterString,636
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/che:streetName/gco:CharacterString,6372
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/che:streetNumber/gco:CharacterString,6320
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:administrativeArea/gco:CharacterString,514
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:city/gco:CharacterString,7092
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:country/gco:CharacterString,5710
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:deliveryPoint/gco:CharacterString,1088
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:deliveryPoint/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,7106
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,6987
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:hoursOfService/gco:CharacterString,1873
gmd:contact/che:CHE_CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:description/gco:CharacterString,987
