XPATH,Count
che:CHE_MD_DataIdentification/che:basicGeodataID/gco:CharacterString,2860
che:CHE_MD_DataIdentification/che:basicGeodataIDType/che:basicGeodataIDTypeCode,2793
che:CHE_MD_DataIdentification/che:geodataType/che:MD_geodataTypeCode,984
che:CHE_MD_DataIdentification/che:projectType/che:CHE_CI_projectTypeCode,3
che:CHE_MD_DataIdentification/che:revision/che:CHE_MD_Revision,32
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,7002
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5636
che:CHE_MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:aggregateDataSetIdentifier/gmd:MD_Identifier,1371
che:CHE_MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:associationType/gmd:DS_AssociationTypeCode,1372
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,6346
che:CHE_MD_DataIdentification/gmd:citation/gmd:CI_Citation,52707
che:CHE_MD_DataIdentification/gmd:credit/gco:CharacterString,12
che:CHE_MD_DataIdentification/gmd:credit/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,7
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords,47241
che:CHE_MD_DataIdentification/gmd:environmentDescription/gco:CharacterString,933
che:CHE_MD_DataIdentification/gmd:environmentDescription/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,897
che:CHE_MD_DataIdentification/gmd:extent/gmd:EX_Extent,44635
che:CHE_MD_DataIdentification/gmd:graphicOverview/gmd:MD_BrowseGraphic,5480
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,7003
che:CHE_MD_DataIdentification/gmd:pointOfContact/che:CHE_CI_ResponsibleParty,110252
che:CHE_MD_DataIdentification/gmd:purpose/gco:CharacterString,1519
che:CHE_MD_DataIdentification/gmd:purpose/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1407
che:CHE_MD_DataIdentification/gmd:resourceConstraints,17589
che:CHE_MD_DataIdentification/gmd:resourceFormat/gmd:MD_Format,2699
che:CHE_MD_DataIdentification/gmd:resourceMaintenance/che:CHE_MD_MaintenanceInformation,6748
che:CHE_MD_DataIdentification/gmd:resourceSpecificUsage/gmd:MD_Usage/gmd:specificUsage/gco:CharacterString,47
che:CHE_MD_DataIdentification/gmd:resourceSpecificUsage/gmd:MD_Usage/gmd:specificUsage/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,43
che:CHE_MD_DataIdentification/gmd:resourceSpecificUsage/gmd:MD_Usage/gmd:userContactInfo/che:CHE_CI_ResponsibleParty,699
che:CHE_MD_DataIdentification/gmd:resourceSpecificUsage/gmd:MD_Usage/gmd:userDeterminedLimitations/gco:CharacterString,4
che:CHE_MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode,4379
che:CHE_MD_DataIdentification/gmd:spatialResolution/gmd:MD_Resolution/gmd:distance/gco:Distance,555
che:CHE_MD_DataIdentification/gmd:spatialResolution/gmd:MD_Resolution/gmd:equivalentScale/gmd:MD_RepresentativeFraction,1957
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,4664
che:CHE_MD_DataIdentification/gmd:supplementalInformation/gco:CharacterString,252
che:CHE_MD_DataIdentification/gmd:supplementalInformation/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,232
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,7000
