XPATH,Count
che:legislationInformation/che:CHE_MD_Legislation,9607
gmd:characterSet/gmd:MD_CharacterSetCode,7027
gmd:contact/che:CHE_CI_ResponsibleParty,120619
gmd:contentInfo,8090
gmd:dataQualityInfo/gmd:DQ_DataQuality,7198
gmd:dataSetURI/gco:CharacterString,579
gmd:dateStamp/gco:DateTime,7110
gmd:distributionInfo/gmd:MD_Distribution,86739
gmd:fileIdentifier/gco:CharacterString,7110
gmd:hierarchyLevel/gmd:MD_ScopeCode,6244
gmd:hierarchyLevelName/gco:CharacterString,1855
gmd:identificationInfo/che:CHE_MD_DataIdentification,347360
gmd:identificationInfo/che:CHE_SV_ServiceIdentification,4893
gmd:language/gmd:LanguageCode,7110
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,5742
gmd:locale/gmd:PT_Locale/gmd:country/gmd:Country,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,5742
gmd:metadataConstraints/che:CHE_MD_LegalConstraints/gmd:otherConstraints/gco:CharacterString,1
gmd:metadataConstraints/che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1
gmd:metadataExtensionInfo/gmd:MD_MetadataExtensionInformation/gmd:extensionOnLineResource/gmd:CI_OnlineResource,14
gmd:metadataMaintenance/che:CHE_MD_MaintenanceInformation,1336
gmd:metadataStandardName/gco:CharacterString,6674
gmd:metadataStandardVersion/gco:CharacterString,905
gmd:parentIdentifier/gco:CharacterString,1314
gmd:parentIdentifier/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,635
gmd:portrayalCatalogueInfo/che:CHE_MD_PortrayalCatalogueReference,313
gmd:referenceSystemInfo/gmd:MD_ReferenceSystem,10101
gmd:spatialRepresentationInfo,2276
