XPATH,Count
che:CHE_SV_ServiceIdentification/che:inspireServiceType/che:CHE_SV_inspireServiceTypeCode,2
che:CHE_SV_ServiceIdentification/gmd:abstract/gco:CharacterString,56
che:CHE_SV_ServiceIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,55
che:CHE_SV_ServiceIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:aggregateDataSetIdentifier/gmd:MD_Identifier,3
che:CHE_SV_ServiceIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:associationType/gmd:DS_AssociationTypeCode,3
che:CHE_SV_ServiceIdentification/gmd:citation/gmd:CI_Citation,233
che:CHE_SV_ServiceIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords,351
che:CHE_SV_ServiceIdentification/gmd:graphicOverview/gmd:MD_BrowseGraphic,2
che:CHE_SV_ServiceIdentification/gmd:pointOfContact/che:CHE_CI_ResponsibleParty,610
che:CHE_SV_ServiceIdentification/gmd:purpose/gco:CharacterString,5
che:CHE_SV_ServiceIdentification/gmd:purpose/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,4
che:CHE_SV_ServiceIdentification/gmd:resourceConstraints,134
che:CHE_SV_ServiceIdentification/gmd:resourceFormat/gmd:MD_Format,2
che:CHE_SV_ServiceIdentification/gmd:resourceMaintenance/che:CHE_MD_MaintenanceInformation,1
che:CHE_SV_ServiceIdentification/srv:accessProperties/gmd:MD_StandardOrderProcess,10
che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:DCP/srv:DCPList,56
che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:connectPoint/gmd:CI_OnlineResource,160
che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:operationName/gco:CharacterString,56
che:CHE_SV_ServiceIdentification/srv:coupledResource/srv:SV_CoupledResource/gco:ScopedName,2
che:CHE_SV_ServiceIdentification/srv:coupledResource/srv:SV_CoupledResource/srv:identifier/gco:CharacterString,2
che:CHE_SV_ServiceIdentification/srv:coupledResource/srv:SV_CoupledResource/srv:operationName/gco:CharacterString,2
che:CHE_SV_ServiceIdentification/srv:couplingType/srv:SV_CouplingType,56
che:CHE_SV_ServiceIdentification/srv:extent/gmd:EX_Extent,397
che:CHE_SV_ServiceIdentification/srv:keywords/gmd:MD_Keywords,1
che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode,2
che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:otherConstraints/gco:CharacterString,3
che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,2
che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:useConstraints/gmd:MD_RestrictionCode,2
che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:useLimitation/gco:CharacterString,3
che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:useLimitation/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,2
che:CHE_SV_ServiceIdentification/srv:serviceType/gco:LocalName,56
che:CHE_SV_ServiceIdentification/srv:serviceTypeVersion/gco:CharacterString,52
