XPATH,Count
gmd:CI_Citation/gmd:alternateTitle/gco:CharacterString,3499
gmd:CI_Citation/gmd:alternateTitle/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,3427
gmd:CI_Citation/gmd:citedResponsibleParty/che:CHE_CI_ResponsibleParty,14790
gmd:CI_Citation/gmd:date/gmd:CI_Date/gmd:date/gco:Date,15410
gmd:CI_Citation/gmd:date/gmd:CI_Date/gmd:date/gco:DateTime,1175
gmd:CI_Citation/gmd:date/gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,15766
gmd:CI_Citation/gmd:edition/gco:CharacterString,61
gmd:CI_Citation/gmd:identifier/gmd:MD_Identifier,10001
gmd:CI_Citation/gmd:otherCitationDetails/gco:CharacterString,353
gmd:CI_Citation/gmd:otherCitationDetails/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,340
gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:name/gco:CharacterString,355
gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,325
gmd:CI_Citation/gmd:title/gco:CharacterString,16012
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,8633
gmd:CI_Citation/gmd:collectiveTitle/gco:CharacterString,891
gmd:CI_Citation/gmd:collectiveTitle/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,856
gmd:CI_Citation/gmd:editionDate/gco:Date,26
gmd:CI_Citation/gmd:presentationForm/gmd:CI_PresentationFormCode,856
gmd:CI_Citation/gmd:ISBN/gco:CharacterString,5
gmd:CI_Citation/gmd:ISSN/gco:CharacterString,1
