XPATH,Count
gmd:contentInfo/che:CHE_MD_CoverageDescription/gmd:attributeDescription/gco:RecordType,30
gmd:contentInfo/che:CHE_MD_CoverageDescription/gmd:contentType/gmd:MD_CoverageContentTypeCode,30
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:type/gco:CharacterString,57
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:code/gco:CharacterString,7
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:description/gco:CharacterString,7
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:name/gco:CharacterString,18
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:description/gco:CharacterString,335
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:name/gco:CharacterString,360
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:namedType/che:CHE_MD_CodeDomain/che:description/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:namedType/che:CHE_MD_CodeDomain/che:name/gco:CharacterString,6
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:namedType/che:CHE_MD_CodeDomain/che:type/che:type/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:namedType/che:CHE_MD_CodeDomain/che:type/che:value/che:CHE_MD_CodeValue/che:code/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:namedType/che:CHE_MD_CodeDomain/che:type/che:value/che:CHE_MD_CodeValue/che:description/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:attribute/che:namedType/che:CHE_MD_CodeDomain/che:type/che:value/che:CHE_MD_CodeValue/che:name/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:type/gco:CharacterString,4
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:description/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:name/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:subValue/che:CHE_MD_CodeValue/che:description/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:subValue/che:CHE_MD_CodeValue/che:name/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:description/gco:CharacterString,8
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:name/gco:CharacterString,8
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:type/gco:CharacterString,2
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:description/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:value/che:CHE_MD_CodeValue/che:name/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:description/gco:CharacterString,2
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:name/gco:CharacterString,2
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:description/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:attribute/che:name/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:description/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:name/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:description/gco:CharacterString,2
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:name/gco:CharacterString,2
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:description/gco:CharacterString,6
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:name/gco:CharacterString,8
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:subClass/che:CHE_MD_Class/che:attribute/che:anonymousType/che:CHE_MD_Type/che:type/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:subClass/che:CHE_MD_Class/che:attribute/che:description/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:subClass/che:CHE_MD_Class/che:attribute/che:name/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:subClass/che:CHE_MD_Class/che:description/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:baseClass/che:CHE_MD_Class/che:subClass/che:CHE_MD_Class/che:name/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:description/gco:CharacterString,274
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:class/che:CHE_MD_Class/che:name/gco:CharacterString,494
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:dataModel/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,300
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:dataModel/gmd:URL,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:domain/che:CHE_MD_CodeDomain/che:name/gco:CharacterString,2
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:domain/che:CHE_MD_CodeDomain/che:type/che:type/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:domain/che:CHE_MD_CodeDomain/che:type/che:value/che:CHE_MD_CodeValue/che:code/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:domain/che:CHE_MD_CodeDomain/che:type/che:value/che:CHE_MD_CodeValue/che:name/gco:CharacterString,1
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/che:modelType/che:CHE_MD_modelTypeCode,847
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/gmd:complianceCode/gco:Boolean,239
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/gmd:featureCatalogueCitation/gmd:CI_Citation,3927
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/gmd:includedWithDataset/gco:Boolean,849
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/gmd:language/gmd:LanguageCode,234
gmd:contentInfo/che:CHE_MD_ImageDescription/gmd:attributeDescription/gco:RecordType,2
gmd:contentInfo/che:CHE_MD_ImageDescription/gmd:contentType/gmd:MD_CoverageContentTypeCode,2
gmd:contentInfo/che:CHE_MD_FeatureCatalogueDescription/gmd:featureTypes/gco:ScopedName,2
