XPATH,Count
gmd:identificationInfo/che:CHE_MD_DataIdentification/che:basicGeodataID/gco:CharacterString,2860
gmd:identificationInfo/che:CHE_MD_DataIdentification/che:basicGeodataIDType/che:basicGeodataIDTypeCode,2793
gmd:identificationInfo/che:CHE_MD_DataIdentification/che:geodataType/che:MD_geodataTypeCode,984
gmd:identificationInfo/che:CHE_MD_DataIdentification/che:projectType/che:CHE_CI_projectTypeCode,3
gmd:identificationInfo/che:CHE_MD_DataIdentification/che:revision/che:CHE_MD_Revision,32
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,7002
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5636
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:aggregateDataSetIdentifier/gmd:MD_Identifier,1371
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:associationType/gmd:DS_AssociationTypeCode,1372
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,6346
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:citation/gmd:CI_Citation,52707
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:credit/gco:CharacterString,12
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:credit/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,7
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword/gco:CharacterString,6799
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5505
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:thesaurusName/gmd:CI_Citation,28138
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,6799
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:environmentDescription/gco:CharacterString,933
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:environmentDescription/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,897
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:extent/gmd:EX_Extent,44635
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:graphicOverview/gmd:MD_BrowseGraphic/gmd:fileDescription/gco:CharacterString,1734
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:graphicOverview/gmd:MD_BrowseGraphic/gmd:fileDescription/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1381
gmd:identificationInfo/che:CHE_MD_DataIdentification/gmd:graphicOverview/gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,1891
