#-----Metadata-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_Metadata/gmd:fileIdentifier/gco:CharacterString,14738,100.0,71
che:CHE_MD_Metadata/gmd:language/gmd:LanguageCode,9056,61.4,62
che:CHE_MD_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode,14624,99.2,71
che:CHE_MD_Metadata/gmd:parentIdentifier/gco:CharacterString,1343,9.1,17
che:CHE_MD_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode,12999,88.2,70
che:CHE_MD_Metadata/gmd:hierarchyLevelName/gco:CharacterString,4301,29.2,45
che:CHE_MD_Metadata/gmd:dateStamp/gco:DateTime,13718,93.1,70
che:CHE_MD_Metadata/gmd:metadataStandardName/gco:CharacterString,11400,77.3,70
che:CHE_MD_Metadata/gmd:metadataStandardVersion/gco:CharacterString,2723,18.5,25
che:CHE_MD_Metadata/gmd:dataSetURI/gco:CharacterString,1673,11.4,18
che:CHE_MD_Metadata/gmd:contact,14439,98.0,70
che:CHE_MD_Metadata/gmd:contentInfo,2236,15.2,30
che:CHE_MD_Metadata/gmd:dataQualityInfo,4262,28.9,50
che:CHE_MD_Metadata/gmd:distributionInfo,14373,97.5,71
che:CHE_MD_Metadata/gmd:identificationInfo,14738,100.0,71
che:CHE_MD_Metadata/che:legislationInformation,1295,8.8,37
che:CHE_MD_Metadata/gmd:metadataMaintenance,1868,12.7,32
che:CHE_MD_Metadata/gmd:portrayalCatalogueInfo,118,0.8,13
che:CHE_MD_Metadata/gmd:referenceSystemInfo,11484,77.9,62
che:CHE_MD_Metadata/gmd:spatialRepresentationInfo,3504,23.8,49

#-----DataIdentification-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,10361,70.3,58
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,13154,89.2,70
che:CHE_MD_DataIdentification/gmd:citation,14312,97.1,71
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,10454,70.9,68
che:CHE_MD_DataIdentification/gmd:graphicOverview,3739,25.4,31
che:CHE_MD_DataIdentification/gmd:pointOfContact,12503,84.8,65
che:CHE_MD_DataIdentification/gmd:purpose/gco:CharacterString,2441,16.6,42
che:CHE_MD_DataIdentification/gmd:resourceConstraints,11586,78.6,62
che:CHE_MD_DataIdentification/gmd:resourceFormat,1482,10.1,32
che:CHE_MD_DataIdentification/gmd:resourceMaintenance,11006,74.7,60
che:CHE_MD_DataIdentification/gmd:resourceSpecificUsage,544,3.7,13
che:CHE_MD_DataIdentification/che:revision,534,3.6,15
che:CHE_MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode,9764,66.2,56
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,8802,59.7,62
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,12213,82.9,65
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,14112,95.7,71
che:CHE_MD_DataIdentification/che:basicGeodataID/gco:CharacterString,3221,21.9,40
che:CHE_MD_DataIdentification/che:basicGeodataIDType/che:basicGeodataIDTypeCode,3157,21.4,41
che:CHE_MD_DataIdentification/gmd:environmentDescription/gco:CharacterString,1052,7.1,14
che:CHE_MD_DataIdentification/gmd:extent,13424,91.1,70
che:CHE_MD_DataIdentification/gmd:spatialResolution,4524,30.7,48
che:CHE_MD_DataIdentification/gmd:supplementalInformation/gco:CharacterString,517,3.5,21

gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,3494,23.7,32
gmd:MD_BrowseGraphic/gmd:fileType/gco:CharacterString,833,5.7,18
gmd:MD_BrowseGraphic/gmd:fileDescription/gco:CharacterString,2055,13.9,24

gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,9703,65.8,63
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,9126,61.9,67

gmd:MD_RepresentativeFraction/gmd:denominator/gco:Integer,3818,25.9,43

gmd:MD_Resolution/gmd:distance/gco:Distance,885,6.0,25
gmd:MD_Resolution/gmd:equivalentScale,3729,25.3,43

gmd:MD_Usage/gmd:specificUsage/gco:CharacterString,57,0.4,9
