Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,1,100.0,1
gmd:language/gmd:LanguageCode,1,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,1,100.0,1
che:CHE_MD_Metadata/gmd:contact,1,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,1,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,1,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,1,100.0,1
gmd:CI_Contact/gmd:phone,1,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,1,100.0,1
che:CHE_CI_Telephone/gmd:facsimile/gco:CharacterString,1,100.0,1
gmd:CI_Contact/gmd:address,1,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,1,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,1,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,1,100.0,1
gmd:CI_Contact/gmd:onlineResource,1,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,1,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,1,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,1,100.0,1
che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,1,100.0,1
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,1,100.0,1
gmd:dateStamp/gco:DateTime,1,100.0,1
gmd:metadataStandardName/gco:CharacterString,1,100.0,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,1,100.0,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,1,100.0,1
che:CHE_MD_Metadata/gmd:identificationInfo,1,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,1,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,1,100.0,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1,100.0,1
gmd:CI_Citation/gmd:date,1,100.0,1
gmd:CI_Date/gmd:date/gco:Date,1,100.0,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,1,100.0,1
gmd:CI_Citation/gmd:citedResponsibleParty,1,100.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,1,100.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1,100.0,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,1,100.0,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,1,100.0,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,1,100.0,1
gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1,100.0,1
gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,1,100.0,1
gmd:MD_Keywords/gmd:thesaurusName,1,100.0,1
gmd:CI_Citation/gmd:identifier,1,100.0,1
gmd:MD_Identifier/gmd:code/gmx:Anchor,1,100.0,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,1,100.0,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,1,100.0,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,1,100.0,1
che:CHE_MD_DataIdentification/gmd:extent,1,100.0,1
gmd:EX_Extent/gmd:description/gco:CharacterString,1,100.0,1
gmd:EX_Extent/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1,100.0,1
gmd:EX_Extent/gmd:geographicElement,1,100.0,1
gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal,1,100.0,1
gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal,1,100.0,1
gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal,1,100.0,1
gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal,1,100.0,1
gmd:EX_BoundingPolygon/gmd:polygon/gml:MultiSurface/gml:surfaceMember/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList,1,100.0,1
gmd:EX_Extent/gmd:temporalElement,1,100.0,1
gmd:EX_TemporalExtent/gmd:extent,1,100.0,1
gml:TimePeriod/gml:beginPosition,1,100.0,1
gml:TimePeriod/gml:endPosition,1,100.0,1
che:CHE_MD_Metadata/gmd:distributionInfo,1,100.0,1
gmd:MD_Distribution/gmd:distributionFormat,1,100.0,1
gmd:MD_Format/gmd:name/gco:CharacterString,1,100.0,1
gmd:MD_Format/gmd:version/gco:CharacterString,1,100.0,1
gmd:MD_Distribution/gmd:distributor,1,100.0,1
gmd:MD_Distributor/gmd:distributorContact,1,100.0,1
