Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,5,100.0,1
gmd:language/gmd:LanguageCode,5,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,5,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,5,100.0,1
che:CHE_MD_Metadata/gmd:contact,5,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,5,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,5,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,5,100.0,1
gmd:CI_Contact/gmd:phone,5,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,5,100.0,1
che:CHE_CI_Telephone/che:directNumber/gco:CharacterString,5,100.0,1
gmd:CI_Contact/gmd:address,5,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,5,100.0,1
che:CHE_CI_Address/gmd:administrativeArea/gco:CharacterString,5,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,5,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,5,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,5,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,5,100.0,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,5,100.0,1
gmd:CI_Contact/gmd:onlineResource,5,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,5,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,5,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,5,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,5,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5,100.0,1
gmd:dateStamp/gco:DateTime,5,100.0,1
gmd:metadataStandardName/gco:CharacterString,5,100.0,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,5,100.0,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,5,100.0,1
che:CHE_MD_Metadata/gmd:referenceSystemInfo,5,100.0,1
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,5,100.0,1
gmd:RS_Identifier/gmd:code/gco:CharacterString,5,100.0,1
gmd:RS_Identifier/gmd:code/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5,100.0,1
che:CHE_MD_Metadata/gmd:identificationInfo,5,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,5,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,5,100.0,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5,100.0,1
gmd:CI_Citation/gmd:date,5,100.0,1
gmd:CI_Date/gmd:date/gco:Date,5,100.0,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,5,100.0,1
gmd:CI_Citation/gmd:identifier,5,100.0,1
gmd:MD_Identifier/gmd:code/gco:CharacterString,5,100.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,4,80.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,4,80.0,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,5,100.0,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,5,100.0,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,5,100.0,1
gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5,100.0,1
gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,5,100.0,1
gmd:MD_Keywords/gmd:thesaurusName,5,100.0,1
gmd:MD_Identifier/gmd:code/gmx:Anchor,5,100.0,1
che:CHE_MD_DataIdentification/gmd:resourceConstraints,5,100.0,1
che:CHE_MD_LegalConstraints/che:legislationConstraints,5,100.0,1
che:CHE_MD_Legislation/che:country/gmd:Country,5,100.0,1
gmd:MD_SecurityConstraints/gmd:classification/gmd:MD_ClassificationCode,5,100.0,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,5,100.0,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,5,100.0,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,5,100.0,1
che:CHE_MD_DataIdentification/gmd:extent,5,100.0,1
gmd:EX_Extent/gmd:description/gco:CharacterString,5,100.0,1
gmd:EX_Extent/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,5,100.0,1
gmd:EX_Extent/gmd:geographicElement,5,100.0,1
gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal,5,100.0,1
gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal,5,100.0,1
gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal,5,100.0,1
gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal,5,100.0,1
gmd:EX_BoundingPolygon/gmd:polygon/gml:MultiSurface/gml:surfaceMember/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList,5,100.0,1
che:CHE_MD_DataIdentification/gmd:resourceFormat,2,40.0,1
gmd:MD_Format/gmd:name/gco:CharacterString,3,60.0,1
gmd:MD_Format/gmd:version/gco:CharacterString,3,60.0,1
che:CHE_MD_Metadata/gmd:distributionInfo,4,80.0,1
gmd:MD_Distribution/gmd:distributionFormat,3,60.0,1
gmd:MD_Distribution/gmd:transferOptions,4,80.0,1
gmd:MD_DigitalTransferOptions/gmd:onLine,4,80.0,1
gmd:CI_OnlineResource/gmd:description/gco:CharacterString,4,80.0,1
gmd:CI_OnlineResource/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,4,80.0,1
gmd:CI_OnlineResource/gmd:function/gmd:CI_OnLineFunctionCode,4,80.0,1
gmd:MD_Distribution/gmd:distributor,2,40.0,1
